date;obs;rs
7/29/2017;0.26461463;0.238268009
8/6/2017;0.264663746;0.219838957
8/11/2017;0.234749661;0.233326118
5/13/2018;0.643240556;0.603394948
5/23/2018;0.287817541;0.392611224
7/14/2018;0.21677432;0.278296524
7/17/2018;0.189863108;0.282892072
7/27/2018;0.197182576;0.218539295
7/29/2018;0.182046339;0.179255849
8/8/2018;0.190609227;0.204119444
5/20/2019;0.664571112;0.72168938
8/8/2019;0.180031799;0.183636684
8/28/2019;0.197067986;0.151481631
5/9/2020;0.647023512;0.855382328
7/26/2020;0.209943619;0.217443941
7/31/2020;0.192721491;0.208044808
8/2/2020;0.184253191;0.223842475
8/5/2020;0.188564752;0.200137503
9/4/2020;0.212553362;0.20481863
9/11/2020;0.222199751;0.197259697
9/16/2020;0.213922582;0.320071832
5/12/2021;0.630059557;0.701419892
5/14/2021;0.594810248;0.60695251
6/26/2021;0.228877905;0.242991734
7/13/2021;0.218975684;0.237866342
7/18/2021;0.210171294;0.190428307
7/26/2021;0.196644622;0.222290971
8/12/2021;0.284950083;0.340553509
